;id;scientific.name;accepted.name;family;taxon.rank;taxon.status;search.str;threat.status.cnc;threat.status.mma;threat.status.mma2022;life.form;habitat;vegetation.type;vernacular.name;occurrence;establishment;domain;endemism
4458;14235;Richardia brasiliensis Gomes;NA;Rubiaceae;species;accepted;Richardia brasiliensis;NA;NA;NA;Herb;Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo de Altitude|Campo Limpo|Campo rupestre|Carrasco|Cerrado (lato sensu)|Restinga|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
4459;14239;Richardia scabra L.;NA;Rubiaceae;species;accepted;Richardia scabra;NA;NA;NA;Herb;Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo Limpo|Campo rupestre|Carrasco|Cerrado (lato sensu)|Restinga|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-RO|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
4460;16284;Richterago discoidea (Less.) Kuntze;NA;Asteraceae;species;accepted;Richterago discoidea;NA;NA;NA;Herb|Subshrub;Terrestrial;Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-MG;native;Cerrado;Endemic
4461;25252;Richterago arenaria (Baker) Roque;NA;Asteraceae;species;accepted;Richterago arenaria;VU;VU;VU;Herb;Terrestrial;Campo rupestre;NA;BR-MG;native;Cerrado;Endemic
4462;25259;Richterago polymorpha (Less.) Roque;NA;Asteraceae;species;accepted;Richterago polymorpha;NA;NA;NA;Herb;Terrestrial;Campo rupestre|Cerrado (lato sensu);NA;BR-MG;native;Cerrado;Endemic
4463;25260;Richterago radiata (Vell.) Roque;NA;Asteraceae;species;accepted;Richterago radiata;NA;NA;NA;Herb;Terrestrial;Campo rupestre;margarida-da-serra/PORTUGUES/Serra do Cipo, Minas Gerais;BR-DF|BR-GO|BR-MG|BR-PR|BR-SP;native;Cerrado;Endemic
4464;17659;Ricinus communis L.;NA;Euphorbiaceae;species;accepted;Ricinus communis;NA;NA;NA;Shrub|Tree;Terrestrial;Area Antropica|Campo de Varzea|Floresta Ciliar ou Galeria|Floresta de Varzea|Floresta Ombrofila Mista|Restinga;carrapateira/PORTUGUES/Acre | mamona/PORTUGUES/Acre, Para;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;naturalized;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
4465;27347;Riencourtia oblongifolia Gardner;NA;Asteraceae;species;accepted;Riencourtia oblongifolia;NA;NA;NA;Herb|Subshrub;Terrestrial;Campo Limpo|Cerrado (lato sensu);NA;BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-RO|BR-SP|BR-TO;native;Cerrado;Non Endemic
4472;20639;Roupala montana Aubl. var. montana;NA;Proteaceae;variety;accepted;Roupala montana var. montana;NA;NA;NA;Shrub|Tree;Terrestrial;Campinarana|Campo de Altitude|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Vegetacao Sobre Afloramentos Rochosos;carne-de-vaca/PORTUGUES/NA;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
4473;13799;Roupala montana Aubl.;NA;Proteaceae;species;accepted;Roupala montana;NA;NA;NA;Shrub|Tree;Terrestrial;Area Antropica|Campinarana|Campo de Altitude|Campo Limpo|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Savana Amazonica|Vegetacao Sobre Afloramentos Rochosos;carne-de-vaca/PORTUGUES/NA | carvalho-vermelho/PORTUGUES/Sudeste | congonha/PORTUGUES/Norte | carvalho/PORTUGUES/Sul | mijo-de-guara/PORTUGUES/Centro-oeste | sambaibinha/PORTUGUES/Cwntro-oeste;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
