;id;scientific.name;accepted.name;family;taxon.rank;taxon.status;search.str;threat.status.cnc;threat.status.mma;threat.status.mma2022;life.form;habitat;vegetation.type;vernacular.name;occurrence;establishment;domain;endemism
24;29140;Acalypha claussenii (Turcz.) Mull.Arg.;NA;Euphorbiaceae;species;accepted;Acalypha claussenii;NA;NA;NA;Subshrub;Terrestrial;Campo Limpo|Cerrado (lato sensu);NA;BR-GO|BR-MG|BR-PR|BR-SP;native;Cerrado;Endemic
26;25456;Acalypha communis Mull.Arg.;NA;Euphorbiaceae;species;accepted;Acalypha communis;NA;NA;NA;Shrub|Herb|Subshrub;Terrestrial;Caatinga (stricto sensu)|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Vegetacao Sobre Afloramentos Rochosos;NA;BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP|BR-TO;native;Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
33;10258;Accara elegans (DC.) Landrum;NA;Myrtaceae;species;accepted;Accara elegans;EN;EN;EN;Shrub|Tree|Subshrub;Terrestrial;Campo rupestre;NA;BR-MG;native;Cerrado|Mata Atlantica;Endemic
34;613447;Achillea millefolium L.;NA;Asteraceae;species;accepted;Achillea millefolium;NA;NA;NA;Herb|Subshrub;Terrestrial;Area Antropica|Campo de Altitude;Erva-dos-carpinteiros/PORTUGUES/NA | Feiteirinha/PORTUGUES/NA | Erva-de-cortaduras/PORTUGUES/NA | Erva-dos-carreteiros/PORTUGUES/NA | Novalgina/PORTUGUES/NA | Pronto-alivio/PORTUGUES/NA | Erva-dos-militares/PORTUGUES/NA | Erva-dos-soldados/PORTUGUES/NA | Erva-do-bom-deus/PORTUGUES/NA | Prazer-das-damas/PORTUGUES/NA | Erva-dos-golpes/PORTUGUES/NA | Milefolio/PORTUGUES/NA | Sanguinaria/PORTUGUES/NA | Nariz-sangrento/PORTUGUES/NA | Milefolio-em-rama/PORTUGUES/NA | Mil-folhas/PORTUGUES/NA;BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;cultivated;Cerrado|Mata Atlantica|Pampa;Non Endemic
35;102955;Achyrocline alata (Kunth) DC.;NA;Asteraceae;species;accepted;Achyrocline alata;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu);macela/PORTUGUES/sul, sudeste | macela-do-brejo/PORTUGUES/sul;BR-BA|BR-DF|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
36;108819;Achyrocline flaccida (Weinm.) DC.;NA;Asteraceae;species;accepted;Achyrocline flaccida;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Floresta Estacional Semidecidual;macela/PORTUGUES/sul | marcela/PORTUGUES/sul;BR-RS|BR-SC;native;Mata Atlantica|Pampa;Non Endemic
37;108826;Achyrocline satureioides (Lam.) DC.;NA;Asteraceae;species;accepted;Achyrocline satureioides;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre|Restinga|Vegetacao Sobre Afloramentos Rochosos;NA;BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
38;108829;Achyrocline vargasiana DC.;NA;Asteraceae;species;accepted;Achyrocline vargasiana;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo rupestre|Cerrado (lato sensu)|Floresta Ombrofila Mista;marcela/PORTUGUES/Sudeste | vira-vira/ESPANHOL/Venezuela, Norte do Brasil;BR-AC|BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RR|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
39;108833;Achyrocline vauthieriana DC.;NA;Asteraceae;species;accepted;Achyrocline vauthieriana;NA;NA;NA;Herb;Terrestrial;Campo de Varzea|Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
59;11044;Acianthera prolifera (Herb. ex Lindl.) Pridgeon & M.W.Chase;NA;Orchidaceae;species;accepted;Acianthera prolifera;NA;NA;NA;Herb;Rupicolous;Campo rupestre|Vegetacao Sobre Afloramentos Rochosos;NA;BR-BA|BR-DF|BR-ES|BR-MG|BR-PE|BR-RJ|BR-SP;native;Caatinga|Cerrado|Mata Atlantica;Non Endemic
68;26777;Acilepidopsis echitifolia (Mart. ex DC.) H.Rob.;NA;Asteraceae;species;accepted;Acilepidopsis echitifolia;NA;NA;NA;Shrub|Herb|Subshrub;Terrestrial;Campinarana|Campo Limpo|Cerrado (lato sensu)|Vegetacao Aquatica;NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-SC|BR-SP;native;Amazonia|Cerrado|Mata Atlantica;Non Endemic
69;25779;Acisanthera alsinaefolia (Mart. & Schrank ex DC.) Triana;NA;Melastomataceae;species;accepted;Acisanthera alsinaefolia;NA;NA;NA;Shrub|Subshrub;Terrestrial;Area Antropica|Campo Limpo|Campo rupestre|Cerrado (lato sensu);NA;BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
74;19606;Acisanthera variabilis (DC.) Triana;NA;Melastomataceae;species;accepted;Acisanthera variabilis;NA;NA;NA;Herb|Subshrub;Terrestrial;Campo rupestre|Floresta Estacional Semidecidual;NA;BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PB|BR-PI|BR-PR|BR-RJ|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
75;26778;Acmella bellidioides (Sm.) R.K.Jansen;NA;Asteraceae;species;accepted;Acmella bellidioides;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Restinga;NA;BR-BA|BR-GO|BR-MG|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
78;26779;Acmella leptophylla (DC.) R.K.Jansen;NA;Asteraceae;species;accepted;Acmella leptophylla;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo Limpo|Cerrado (lato sensu)|Restinga;NA;BR-MG|BR-MS|BR-MT|BR-PR|BR-RS;native;Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
84;130394;Actinocephalus incanus (Bong.) F.N.Costa;NA;Eriocaulaceae;species;accepted;Actinocephalus incanus;NA;NA;NA;Herb;Terrestrial;Campo rupestre;botao-branco/PORTUGUES/Diamantina;BR-MG;native;Cerrado;Endemic
85;7511;Actinocephalus polyanthus (Bong.) Sano;NA;Eriocaulaceae;species;accepted;Actinocephalus polyanthus;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre|Restinga;gravata-do-campo/PORTUGUES/SC;BR-BA|BR-DF|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Endemic
86;35370;Actinocephalus polyanthus (Bong.) Sano var. polyanthus;NA;Eriocaulaceae;variety;accepted;Actinocephalus polyanthus var. polyanthus;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo de Varzea|Campo Limpo|Campo rupestre|Restinga;NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Endemic
109;5771;Aechmea bromeliifolia (Rudge) Baker;NA;Bromeliaceae;species;accepted;Aechmea bromeliifolia;LC;NA;NA;Herb;Epiphyte|Rupicolous|Terrestrial;Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial);NA;BR-AC|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PR|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
110;5799;Aechmea distichantha Lem.;NA;Bromeliaceae;species;accepted;Aechmea distichantha;LC;NA;NA;Herb;Epiphyte|Rupicolous|Terrestrial;Campo de Altitude|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial);NA;BR-ES|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Endemic
119;23320;Aegiphila integrifolia (Jacq.) Moldenke;NA;Lamiaceae;species;accepted;Aegiphila integrifolia;NA;NA;NA;Shrub|Tree;Terrestrial;Area Antropica|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga|Savana Amazonica;NA;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
120;8116;Aegiphila obducta Vell.;NA;Lamiaceae;species;accepted;Aegiphila obducta;NA;NA;NA;Shrub|Tree|Climber;Terrestrial;Campo de Altitude|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista;NA;BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Endemic
122;8120;Aegiphila verticillata Vell.;NA;Lamiaceae;species;accepted;Aegiphila verticillata;NA;NA;NA;Shrub|Tree|Subshrub;Terrestrial;Caatinga (stricto sensu)|Campo de Altitude|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Restinga|Savana Amazonica;NA;BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pantanal;Non Endemic
123;616828;Ctenodon brasilianus (Poir.) D.B.O.S.Cardoso, P.L.R.Moraes & H.C.Lima;NA;Fabaceae;species;accepted;Ctenodon brasilianus;NA;NA;NA;Shrub|Herb|Subshrub;Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Restinga;NA;BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pantanal;Non Endemic
124;617033;Ctenodon falcatus (Poir.) D.B.O.S.Cardoso, P.L.R.Moraes & H.C.Lima;NA;Fabaceae;species;accepted;Ctenodon falcatus;NA;NA;NA;Shrub|Herb|Subshrub;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Restinga;NA;BR-AL|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
127;617679;Ctenodon paniculatus (Willd. ex Vogel) D.B.O.S.Cardoso, P.L.R.Moraes & H.C.Lima;NA;Fabaceae;species;accepted;Ctenodon paniculatus;NA;NA;NA;Shrub|Herb|Subshrub;Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Palmeiral|Restinga;NA;BR-AC|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pantanal;Non Endemic
129;12410;Agalinis linarioides (Cham. & Schltdl.) D'Arcy;NA;Orobanchaceae;species;accepted;Agalinis linarioides;NA;NA;NA;Herb|Subshrub;Hemiparasita|Terrestrial;Campo Limpo;NA;BR-PR|BR-RJ|BR-RS|BR-SC;native;Mata Atlantica|Pampa;Non Endemic
130;12412;Agalinis ramulifera Barringer;NA;Orobanchaceae;species;accepted;Agalinis ramulifera;EN;EN;EN;Herb|Subshrub;Hemiparasita|Terrestrial;Campo de Altitude;NA;BR-MG|BR-PR|BR-SP;native;Mata Atlantica;Endemic
131;122010;Agarista eucalyptoides (Cham. & Schltdl.) G.Don;NA;Ericaceae;species;accepted;Agarista eucalyptoides;NA;NA;NA;Shrub|Tree;Terrestrial;Campo de Altitude|Campo rupestre|Vegetacao Sobre Afloramentos Rochosos;NA;BR-BA|BR-MG|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
132;7458;Agarista hispidula (DC.) J.D. Hook. ex Nied.;NA;Ericaceae;species;accepted;Agarista hispidula;NA;NA;NA;Shrub|Subshrub;Terrestrial;Campo de Altitude|Campo rupestre;NA;BR-GO|BR-MG|BR-RJ|BR-SP;native;Cerrado|Mata Atlantica;Endemic
133;7462;Agarista oleifolia (Cham.) G.Don;NA;Ericaceae;species;accepted;Agarista oleifolia;NA;NA;NA;Shrub|Tree|Subshrub;Terrestrial;Campo de Altitude|Campo rupestre;NA;BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-PR|BR-RJ|BR-SP;native;Cerrado|Mata Atlantica;Endemic
134;28640;Agarista oleifolia (Cham.) G.Don var. oleifolia;NA;Ericaceae;variety;accepted;Agarista oleifolia var. oleifolia;NA;NA;NA;Shrub|Tree|Subshrub;Terrestrial;Campo de Altitude|Campo rupestre;NA;BR-BA|BR-ES|BR-GO|BR-MG|BR-MT|BR-PR|BR-RJ|BR-SP;native;Cerrado|Mata Atlantica;Endemic
135;7465;Agarista pulchella Cham. ex G.Don;NA;Ericaceae;species;accepted;Agarista pulchella;NA;NA;NA;Shrub|Subshrub;Terrestrial;Campo de Altitude|Campo rupestre;NA;BR-BA|BR-MG|BR-PR|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Endemic
136;12946;Agenium villosum (Nees) Pilg.;NA;Poaceae;species;accepted;Agenium villosum;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu);NA;BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP|BR-TO;native;Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
137;15934;Ageratum conyzoides L.;NA;Asteraceae;species;accepted;Ageratum conyzoides;NA;NA;NA;Herb|Subshrub;Rupicolous|Terrestrial;Area Antropica|Campo rupestre|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos;mentrasto/PORTUGUES/Brasil;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
139;15936;Ageratum fastigiatum (Gardner) R.M.King & H.Rob.;NA;Asteraceae;species;accepted;Ageratum fastigiatum;NA;NA;NA;Shrub|Herb|Subshrub;Terrestrial;Area Antropica|Campo rupestre|Cerrado (lato sensu);NA;BR-AL|BR-BA|BR-CE|BR-DF|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-SC|BR-SE|BR-SP;native;Amazonia|Caatinga|Cerrado;Non Endemic
143;12951;Agrostis montevidensis Spreng. ex Nees;NA;Poaceae;species;accepted;Agrostis montevidensis;NA;NA;NA;NA;NA;Campo de Altitude|Campo Limpo;NA;BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Mata Atlantica|Pampa;Non Endemic
144;130259;Agrostis montevidensis var. submutica Doll;NA;Poaceae;variety;accepted;Agrostis montevidensis var. submutica;NA;NA;NA;Herb;Terrestrial;Campo de Altitude;NA;BR-PR|BR-RJ|BR-RS|BR-SC;native;Mata Atlantica;Endemic
149;5899;Alcantarea imperialis (Carriere) Harms;NA;Bromeliaceae;species;accepted;Alcantarea imperialis;VU;VU;VU;Herb;Rupicolous;Campo de Altitude|Vegetacao Sobre Afloramentos Rochosos;NA;BR-MG|BR-RJ;native;Mata Atlantica;Endemic
154;17458;Alchornea triplinervia (Spreng.) Mull.Arg.;NA;Euphorbiaceae;species;accepted;Alchornea triplinervia;NA;NA;NA;Shrub|Tree|Climber;Terrestrial;Caatinga (stricto sensu)|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta de Varzea|Floresta Ombrofila (= Floresta Pluvial)|Restinga|Savana Amazonica;tinteiro/PORTUGUES/norte/AM | tapia/PORTUGUES/sudeste | tapia-guacu/PORTUGUES/sudeste | tapia/PORTUGUES/Rio de Janeiro | tapia-mirim/PORTUGUES/Rio de Janeiro | tapia-guacu/PORTUGUES/Rio de Janeiro | boleiro/PORTUGUES/Sao Paulo | caixeta/PORTUGUES/Sao Paulo | tapia/PORTUGUES/Sao Paulo | tapia-guacu/PORTUGUES/Sao Paulo | tapia-mirim/PORTUGUES/Sao Paulo | tapia/PORTUGUES/Parana | guacatunga/PORTUGUES/Parana | amorao/PORTUGUES/Parana | tamanqueiro/PORTUGUES/Santa Catarina | pau-de-tamanco/PORTUGUES/Santa Catarina | pau-de-tanho/PORTUGUES/Santa Catarina | tapia/PORTUGUES/Rio Grande do Sul | tanheiro/PORTUGUES/Rio Grande do Sul;BR-AC|BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
163;126141;Aldama pilosa (Baker) E.E.Schill. & Panero;NA;Asteraceae;species;accepted;Aldama pilosa;NA;NA;NA;Shrub|Subshrub;Terrestrial;Campo Limpo|Cerrado (lato sensu)|Floresta Ombrofila Mista;NA;BR-PR|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
164;126142;Aldama robusta (Gardner) E.E.Schill. & Panero;NA;Asteraceae;species;accepted;Aldama robusta;NA;NA;NA;Herb|Subshrub;Terrestrial;Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria;NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-SP|BR-TO;native;Cerrado|Mata Atlantica;Endemic
166;12432;Melasma melampyroides (Rich.) Pennell;NA;Orobanchaceae;species;accepted;Melasma melampyroides;NA;NA;NA;Herb|Subshrub;Hemiparasita|Terrestrial;Campo de Altitude|Campo de Varzea|Campo Limpo|Cerrado (lato sensu);NA;BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
167;86362;Melasma stricta (Benth.) Hassl.;NA;Orobanchaceae;species;accepted;Melasma stricta;NA;NA;NA;Herb|Subshrub;Hemiparasita|Terrestrial;Campo de Altitude|Campo de Varzea|Campo rupestre|Cerrado (lato sensu);NA;BR-AM|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-SP|BR-TO;native;Amazonia|Cerrado|Mata Atlantica|Pantanal;Non Endemic
171;4508;Allamanda cathartica L.;NA;Apocynaceae;species;accepted;Allamanda cathartica;NA;NA;NA;Shrub|Climber;Terrestrial;Area Antropica|Campo de Varzea|Floresta de Igapo|Floresta Ombrofila (= Floresta Pluvial)|Restinga|Savana Amazonica;dedal-de-princesa/PORTUGUES/Sudeste | dedal-de-rainha/PORTUGUES/Sudeste | margarida/PORTUGUES/Acre;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Cerrado|Mata Atlantica;Non Endemic
181;135457;Aloysia gratissima (Gillies & Hook.) Tronc.;NA;Verbenaceae;species;accepted;Aloysia gratissima;NA;NA;NA;Shrub;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Floresta Ciliar ou Galeria;NA;BR-BA|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
190;4282;Alstroemeria cunha Vell.;NA;Alstroemeriaceae;species;accepted;Alstroemeria cunha;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo rupestre|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-ES|BR-MG|BR-PR|BR-RJ|BR-SP;native;Cerrado|Mata Atlantica;Endemic
191;4283;Alstroemeria foliosa Mart. ex Schult. & Schult.f.;NA;Alstroemeriaceae;species;accepted;Alstroemeria foliosa;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo rupestre;NA;BR-ES|BR-MG|BR-RJ|BR-SP;native;Mata Atlantica;Endemic
194;4287;Alstroemeria isabelleana Herb.;NA;Alstroemeriaceae;species;accepted;Alstroemeria isabelleana;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Aquatica;NA;BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Mata Atlantica|Pampa;Non Endemic
195;4291;Alstroemeria plantaginea Mart. ex Schult. & Schult.f.;NA;Alstroemeriaceae;species;accepted;Alstroemeria plantaginea;NA;NA;NA;Herb;Rupicolous|Terrestrial;Campo de Altitude|Campo rupestre|Vegetacao Sobre Afloramentos Rochosos;NA;BR-BA|BR-MG|BR-SP;native;Caatinga|Cerrado|Mata Atlantica;Endemic
198;4297;Alstroemeria variegata M.C.Assis;NA;Alstroemeriaceae;species;accepted;Alstroemeria variegata;DD;NA;NA;Herb;Rupicolous;Campo rupestre|Vegetacao Sobre Afloramentos Rochosos;NA;BR-MG;native;Mata Atlantica;Endemic
199;4302;Alternanthera brasiliana (L.) Kuntze;NA;Amaranthaceae;species;accepted;Alternanthera brasiliana;NA;NA;NA;Subshrub;Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo rupestre|Floresta Ciliar ou Galeria|Floresta Estacional Perenifolia|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga|Savana Amazonica|Vegetacao Sobre Afloramentos Rochosos;NA;NA;NA;NA;NA
200;26323;Alternanthera brasiliana (L.) Kuntze var. brasiliana;NA;Amaranthaceae;variety;accepted;Alternanthera brasiliana var. brasiliana;NA;NA;NA;Subshrub;Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Perenifolia|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga|Savana Amazonica|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
203;15405;Alternanthera rufa (Mart.) D.Dietr.;NA;Amaranthaceae;species;accepted;Alternanthera rufa;NA;NA;NA;Subshrub;Terrestrial;Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-MG|BR-PR|BR-SP;native;Caatinga|Cerrado;Endemic
206;15408;Amaranthus spinosus L.;NA;Amaranthaceae;species;accepted;Amaranthus spinosus;NA;NA;NA;Herb;Terrestrial;Caatinga (stricto sensu)|Campinarana|Campo Limpo|Campo rupestre|Carrasco|Cerrado (lato sensu);mastruz/PORTUGUES/Acre | caruru-de-espinho/PORTUGUES/Rio Grande do Sul | caruru-bravo/PORTUGUES/Rio Grande do Sul;BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-ES|BR-MA|BR-MG|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SP|BR-TO;naturalized;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
207;15409;Amaranthus viridis L.;NA;Amaranthaceae;species;accepted;Amaranthus viridis;NA;NA;NA;Herb;Terrestrial;Caatinga (stricto sensu)|Campinarana|Campo Limpo|Campo rupestre|Carrasco|Cerrado (lato sensu)|Savana Amazonica;caruru/PORTUGUES/Rio Grande do Sul;BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SP;naturalized;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
219;602626;Amauropelta rivularioides (Fee) Salino & T.E.Almeida;NA;Thelypteridaceae;species;accepted;Amauropelta rivularioides;NA;NA;NA;Herb;Terrestrial;Campo de Varzea|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial);NA;BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
